bin	assigned_genes
1	BCAS3 (1), DIAPH3 (1), IGFBP7 (1)
2	GYPB (8), SRD5A3 (3), IGFBP7 (1), MYO3A (1), PKDCC (1), SMYD3 (1)
3	UGT8 (7), MUC7 (6), SH3YL1 (4), CTNNA3 (2), GPR158 (2), AHCTF1 (1), ATP6V1H (1), CRIM1 (1), FSTL5 (1), GFRA2 (1), IPMK (1), KDM4C (1), KLF12 (1), LY96 (1), MAB21L3 (1), OPCML (1), OR51E2 (1), PCDH7 (1), PLOD2 (1), RHOBTB1 (1), UNC13C (1)
4	HMGN1 (12), MTRR (11), IGFBP7 (6), COPS8 (3), LINC01676 (3), LUZP2 (3), AJAP1 (2), CDH6 (2), MYO10 (2), AGA (1), AOAH (1), AP1S3 (1), FOXN3 (1), GALNTL6 (1), HS3ST1 (1), HS6ST1 (1), MARCHF1 (1), MPC1 (1), OXA1L (1), PFDN4 (1), POSTN (1), RBFOX1 (1), RNF150 (1), SERPINE2 (1), SLC39A11 (1), SPINK2 (1), TCERG1L (1)
