csq	norm	count.var.all	count	p	est	lower	upper
LOF	0.987551121150998	25872	35964	0.987551121150998	0.72845449446803	0.723720525665856	0.733152566272421
missense	0.987551121150998	605850	648412	0.987551121150998	0.94613799278701	0.94552485727563	0.946747195075733
splice_region	0.987551121150998	11928	12754	0.987551121150998	0.947025408974023	0.942559161604592	0.951289225878332
upstream_gene	0.987551121150998	25179	26454	0.987551121150998	0.963801376532395	0.961118017809911	0.96638366281927
downstream_gene	0.987551121150998	48504	50668	0.987551121150998	0.969358018145048	0.967538494623796	0.971124248704168
5_prime_UTR	0.987551121150998	1647	1697	0.987551121150998	0.982770632970485	0.973457074214135	0.990383211037967
3_prime_UTR	0.987551121150998	3869	3978	0.987551121150998	0.984859695156982	0.979230793401438	0.989769926206766
synonymous	0.987551121150998	302083	305891	0.987551121150998	1	0.999595754946491	1.00039485102107
